,CBSA,AGE,FEMALE,MALE,TOTAL,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
0,10100,15-19,1457,1360,2817,"Aberdeen, SD",45.519435,-98.7007,42134
1,10100,20-24,1527,1273,2800,"Aberdeen, SD",45.519435,-98.7007,42134
2,10100,25-29,1226,1350,2576,"Aberdeen, SD",45.519435,-98.7007,42134
3,10100,30-34,1290,1334,2624,"Aberdeen, SD",45.519435,-98.7007,42134
4,10100,35-39,1261,1492,2753,"Aberdeen, SD",45.519435,-98.7007,42134
5,10100,40-44,1239,1256,2495,"Aberdeen, SD",45.519435,-98.7007,42134
6,10100,45-49,1032,1072,2104,"Aberdeen, SD",45.519435,-98.7007,42134
7,10100,50-54,1117,1216,2333,"Aberdeen, SD",45.519435,-98.7007,42134
8,10100,55-59,1316,1411,2727,"Aberdeen, SD",45.519435,-98.7007,42134
9,10100,60-64,1464,1402,2866,"Aberdeen, SD",45.519435,-98.7007,42134
10,10100,65+,4250,3490,7740,"Aberdeen, SD",45.519435,-98.7007,42134
11,10140,15-19,1995,2135,4130,"Aberdeen, WA",47.113732,-123.826735,76841
12,10140,20-24,1696,2082,3778,"Aberdeen, WA",47.113732,-123.826735,76841
13,10140,25-29,1880,2290,4170,"Aberdeen, WA",47.113732,-123.826735,76841
14,10140,30-34,2196,2561,4757,"Aberdeen, WA",47.113732,-123.826735,76841
15,10140,35-39,2130,2494,4624,"Aberdeen, WA",47.113732,-123.826735,76841
16,10140,40-44,2182,2388,4570,"Aberdeen, WA",47.113732,-123.826735,76841
17,10140,45-49,1890,2288,4178,"Aberdeen, WA",47.113732,-123.826735,76841
18,10140,50-54,2226,2454,4680,"Aberdeen, WA",47.113732,-123.826735,76841
19,10140,55-59,2635,2695,5330,"Aberdeen, WA",47.113732,-123.826735,76841
20,10140,60-64,3151,3038,6189,"Aberdeen, WA",47.113732,-123.826735,76841
21,10140,65+,9115,8519,17634,"Aberdeen, WA",47.113732,-123.826735,76841
22,10180,15-19,6452,6594,13046,"Abilene, TX",32.452022,-99.718743,177314
23,10180,20-24,7943,8709,16652,"Abilene, TX",32.452022,-99.718743,177314
24,10180,25-29,6006,6983,12989,"Abilene, TX",32.452022,-99.718743,177314
25,10180,30-34,5744,6581,12325,"Abilene, TX",32.452022,-99.718743,177314
26,10180,35-39,5764,6574,12338,"Abilene, TX",32.452022,-99.718743,177314
27,10180,40-44,4778,5443,10221,"Abilene, TX",32.452022,-99.718743,177314
28,10180,45-49,4234,4692,8926,"Abilene, TX",32.452022,-99.718743,177314
29,10180,50-54,4389,4526,8915,"Abilene, TX",32.452022,-99.718743,177314
30,10180,55-59,4820,4782,9602,"Abilene, TX",32.452022,-99.718743,177314
31,10180,60-64,5111,4739,9850,"Abilene, TX",32.452022,-99.718743,177314
32,10180,65+,15107,12100,27207,"Abilene, TX",32.452022,-99.718743,177314
33,10220,15-19,1422,1365,2787,"Ada, OK",34.721415,-96.69178,38163
34,10220,20-24,1446,1437,2883,"Ada, OK",34.721415,-96.69178,38163
35,10220,25-29,1321,1172,2493,"Ada, OK",34.721415,-96.69178,38163
36,10220,30-34,1335,1266,2601,"Ada, OK",34.721415,-96.69178,38163
37,10220,35-39,1174,1266,2440,"Ada, OK",34.721415,-96.69178,38163
38,10220,40-44,1133,1131,2264,"Ada, OK",34.721415,-96.69178,38163
39,10220,45-49,1029,951,1980,"Ada, OK",34.721415,-96.69178,38163
40,10220,50-54,1021,1010,2031,"Ada, OK",34.721415,-96.69178,38163
41,10220,55-59,1172,1068,2240,"Ada, OK",34.721415,-96.69178,38163
42,10220,60-64,1172,1104,2276,"Ada, OK",34.721415,-96.69178,38163
43,10220,65+,3551,2756,6307,"Ada, OK",34.721415,-96.69178,38163
44,10300,15-19,3156,3532,6688,"Adrian, MI",41.896022,-84.074356,98956
45,10300,20-24,2822,3320,6142,"Adrian, MI",41.896022,-84.074356,98956
