,GEOID,AGE,FEM,MALE,TOT
0,1001,15-19,1905,1904,3809
1,1001,20-24,1578,1636,3214
2,1001,25-29,1908,1878,3786
3,1001,30-34,2144,1845,3989
4,1001,35-39,2025,1993,4018
5,1001,40-44,2040,1858,3898
6,1001,45-49,1971,1854,3825
7,1001,50-54,1991,1922,3913
8,1001,55-59,2070,2008,4078
9,1001,60-64,1965,1819,3784
10,1001,65+,5256,4228,9484
11,1003,15-19,7116,7202,14318
12,1003,20-24,5967,5867,11834
13,1003,25-29,6245,6252,12497
14,1003,30-34,7100,6624,13724
15,1003,35-39,7182,6930,14112
16,1003,40-44,7674,7182,14856
17,1003,45-49,7444,7059,14503
18,1003,50-54,8135,7674,15809
19,1003,55-59,8877,8054,16931
20,1003,60-64,9544,8428,17972
21,1003,65+,27462,23914,51376
22,1005,15-19,687,732,1419
23,1005,20-24,579,897,1476
24,1005,25-29,632,1076,1708
25,1005,30-34,616,1062,1678
26,1005,35-39,670,931,1601
27,1005,40-44,606,984,1590
28,1005,45-49,646,881,1527
29,1005,50-54,700,818,1518
30,1005,55-59,827,874,1701
31,1005,60-64,764,773,1537
32,1005,65+,2806,2181,4987
33,1007,15-19,556,691,1247
34,1007,20-24,532,776,1308
35,1007,25-29,659,991,1650
36,1007,30-34,662,1024,1686
37,1007,35-39,623,940,1563
38,1007,40-44,603,839,1442
39,1007,45-49,675,904,1579
40,1007,50-54,705,843,1548
41,1007,55-59,752,852,1604
42,1007,60-64,684,712,1396
43,1007,65+,2085,1677,3762
44,1009,15-19,1859,1861,3720
45,1009,20-24,1551,1695,3246
46,1009,25-29,1736,1793,3529
47,1009,30-34,1789,1756,3545
48,1009,35-39,1735,1716,3451
49,1009,40-44,1774,1876,3650
50,1009,45-49,1864,1879,3743
51,1009,50-54,1983,2024,4007
52,1009,55-59,2036,2073,4109
53,1009,60-64,1863,1963,3826
54,1009,65+,5983,5073,11056
55,1011,15-19,253,315,568
56,1011,20-24,223,325,548
57,1011,25-29,246,456,702
58,1011,30-34,282,502,784
59,1011,35-39,266,485,751
60,1011,40-44,293,399,692
61,1011,45-49,240,429,669
62,1011,50-54,243,353,596
63,1011,55-59,311,336,647
64,1011,60-64,343,369,712
65,1011,65+,1010,806,1816
66,1013,15-19,508,617,1125
67,1013,20-24,505,531,1036
68,1013,25-29,530,493,1023
69,1013,30-34,596,487,1083
70,1013,35-39,606,508,1114
71,1013,40-44,688,524,1212
72,1013,45-49,582,484,1066
73,1013,50-54,614,532,1146
74,1013,55-59,672,519,1191
75,1013,60-64,716,635,1351
76,1013,65+,2359,1652,4011
77,1015,15-19,3793,3968,7761
78,1015,20-24,3836,3799,7635
79,1015,25-29,3666,3543,7209
80,1015,30-34,3894,3692,7586
81,1015,35-39,3539,3384,6923
82,1015,40-44,3661,3418,7079
83,1015,45-49,3450,3287,6737
84,1015,50-54,3776,3541,7317
85,1015,55-59,3911,3818,7729
86,1015,60-64,4194,3728,7922
87,1015,65+,12092,9319,21411
88,1017,15-19,926,972,1898
89,1017,20-24,941,959,1900
90,1017,25-29,1170,1083,2253
91,1017,30-34,1058,1063,2121
92,1017,35-39,1035,855,1890
93,1017,40-44,1010,932,1942
94,1017,45-49,1142,989,2131
95,1017,50-54,1216,1179,2395
96,1017,55-59,1320,1202,2522
97,1017,60-64,1312,1237,2549
98,1017,65+,3963,3045,7008
99,1019,15-19,683,666,1349
100,1019,20-24,643,642,1285
101,1019,25-29,656,718,1374
102,1019,30-34,651,671,1322
103,1019,35-39,625,564,1189
104,1019,40-44,660,649,1309
105,1019,45-49,779,780,1559
106,1019,50-54,846,918,1764
107,1019,55-59,952,999,1951
108,1019,60-64,1068,1022,2090
109,1019,65+,3135,2858,5993
110,1021,15-19,1440,1483,2923
111,1021,20-24,1228,1341,2569
112,1021,25-29,1448,1380,2828
