,CBSA,POPESTIMATE,AGE,FEMALE,MALE,TOTAL,GEOID,NAME,INTPTLAT,INTPTLONG
0,10100,42134,15-19,1457,1360,2817,10100,"Aberdeen, SD",45.519435,-98.7007
1,10100,42134,20-24,1527,1273,2800,10100,"Aberdeen, SD",45.519435,-98.7007
2,10100,42134,25-29,1226,1350,2576,10100,"Aberdeen, SD",45.519435,-98.7007
3,10100,42134,30-34,1290,1334,2624,10100,"Aberdeen, SD",45.519435,-98.7007
4,10100,42134,35-39,1261,1492,2753,10100,"Aberdeen, SD",45.519435,-98.7007
5,10100,42134,40-44,1239,1256,2495,10100,"Aberdeen, SD",45.519435,-98.7007
6,10100,42134,45-49,1032,1072,2104,10100,"Aberdeen, SD",45.519435,-98.7007
7,10100,42134,50-54,1117,1216,2333,10100,"Aberdeen, SD",45.519435,-98.7007
8,10100,42134,55-59,1316,1411,2727,10100,"Aberdeen, SD",45.519435,-98.7007
9,10100,42134,60-64,1464,1402,2866,10100,"Aberdeen, SD",45.519435,-98.7007
10,10100,42134,65+,4250,3490,7740,10100,"Aberdeen, SD",45.519435,-98.7007
11,10140,76841,15-19,1995,2135,4130,10140,"Aberdeen, WA",47.113732,-123.826735
12,10140,76841,20-24,1696,2082,3778,10140,"Aberdeen, WA",47.113732,-123.826735
13,10140,76841,25-29,1880,2290,4170,10140,"Aberdeen, WA",47.113732,-123.826735
14,10140,76841,30-34,2196,2561,4757,10140,"Aberdeen, WA",47.113732,-123.826735
15,10140,76841,35-39,2130,2494,4624,10140,"Aberdeen, WA",47.113732,-123.826735
16,10140,76841,40-44,2182,2388,4570,10140,"Aberdeen, WA",47.113732,-123.826735
17,10140,76841,45-49,1890,2288,4178,10140,"Aberdeen, WA",47.113732,-123.826735
18,10140,76841,50-54,2226,2454,4680,10140,"Aberdeen, WA",47.113732,-123.826735
19,10140,76841,55-59,2635,2695,5330,10140,"Aberdeen, WA",47.113732,-123.826735
20,10140,76841,60-64,3151,3038,6189,10140,"Aberdeen, WA",47.113732,-123.826735
21,10140,76841,65+,9115,8519,17634,10140,"Aberdeen, WA",47.113732,-123.826735
22,10180,177314,15-19,6452,6594,13046,10180,"Abilene, TX",32.452022,-99.718743
23,10180,177314,20-24,7943,8709,16652,10180,"Abilene, TX",32.452022,-99.718743
24,10180,177314,25-29,6006,6983,12989,10180,"Abilene, TX",32.452022,-99.718743
25,10180,177314,30-34,5744,6581,12325,10180,"Abilene, TX",32.452022,-99.718743
26,10180,177314,35-39,5764,6574,12338,10180,"Abilene, TX",32.452022,-99.718743
27,10180,177314,40-44,4778,5443,10221,10180,"Abilene, TX",32.452022,-99.718743
28,10180,177314,45-49,4234,4692,8926,10180,"Abilene, TX",32.452022,-99.718743
29,10180,177314,50-54,4389,4526,8915,10180,"Abilene, TX",32.452022,-99.718743
30,10180,177314,55-59,4820,4782,9602,10180,"Abilene, TX",32.452022,-99.718743
31,10180,177314,60-64,5111,4739,9850,10180,"Abilene, TX",32.452022,-99.718743
32,10180,177314,65+,15107,12100,27207,10180,"Abilene, TX",32.452022,-99.718743
33,10220,38163,15-19,1422,1365,2787,10220,"Ada, OK",34.721415,-96.69178
34,10220,38163,20-24,1446,1437,2883,10220,"Ada, OK",34.721415,-96.69178
35,10220,38163,25-29,1321,1172,2493,10220,"Ada, OK",34.721415,-96.69178
36,10220,38163,30-34,1335,1266,2601,10220,"Ada, OK",34.721415,-96.69178
37,10220,38163,35-39,1174,1266,2440,10220,"Ada, OK",34.721415,-96.69178
