,GEOID,NAME,INTPTLAT,INTPTLONG
0,10300,"Adrian, MI",41.896022,-84.074356
1,10420,"Akron, OH",41.146639,-81.35011
2,10540,"Albany-Lebanon, OR",44.488898,-122.537208
3,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
4,10620,"Albemarle, NC",35.310449,-80.254374
5,10740,"Albuquerque, NM",35.123496,-106.458392
6,10760,"Alexander City, AL",32.900486,-86.002932
7,10860,"Alice, TX",27.697743,-98.390881
8,10940,"Alma, MI",43.292326,-84.60469
9,11020,"Altoona, PA",40.498683,-78.309597
10,11100,"Amarillo, TX",35.247999,-101.90867
11,11180,"Ames, IA",42.036128,-93.698008
12,11220,"Amsterdam, NY",42.900891,-74.435357
13,11420,"Angola, IN",41.643467,-85.002405
14,11460,"Ann Arbor, MI",42.252217,-83.843423
15,11540,"Appleton, WI",44.290603,-88.372326
16,11580,"Arcadia, FL",27.190581,-81.806253
17,11640,"Arecibo, PR",18.439224,-66.759981
18,11700,"Asheville, NC",35.595669,-82.681615
19,11740,"Ashland, OH",40.843273,-82.270127
20,11780,"Ashtabula, OH",41.906637,-80.745592
21,11860,"Atchison, KS",39.532544,-95.313397
22,11940,"Athens, TN",35.424472,-84.619949
23,11980,"Athens, TX",32.211633,-95.853418
24,12020,"Athens-Clarke County, GA",33.943984,-83.213897
25,12060,"Atlanta-Sandy Springs-Alpharetta, GA",33.693728,-84.399911
26,12100,"Atlantic City-Hammonton, NJ",39.469355,-74.633759
27,12120,"Atmore, AL",31.122287,-87.16841
28,12140,"Auburn, IN",41.39676,-85.002697
29,12180,"Auburn, NY",43.008546,-76.574587
30,12220,"Auburn-Opelika, AL",32.604064,-85.353048
31,12380,"Austin, MN",43.666249,-92.759514
32,12580,"Baltimore-Columbia-Towson, MD",39.304361,-76.549501
33,12660,"Baraboo, WI",43.428001,-89.943318
34,12680,"Bardstown, KY",37.80312,-85.465931
35,12700,"Barnstable Town, MA",41.706123,-70.164823
36,12740,"Barre, VT",44.274969,-72.609444
37,12780,"Bartlesville, OK",36.704403,-95.906253
38,12860,"Batavia, NY",43.00091,-78.192778
39,12980,"Battle Creek, MI",42.24299,-85.012385
40,13020,"Bay City, MI",43.699711,-83.978701
41,13060,"Bay City, TX",28.77476,-96.001532
42,13100,"Beatrice, NE",40.255234,-96.683453
43,13180,"Beaver Dam, WI",43.429628,-88.701939
44,13260,"Bedford, IN",38.839815,-86.48782
45,13340,"Bellefontaine, OH",40.387553,-83.766343
46,13460,"Bend, OR",43.915118,-121.225575
47,13660,"Big Rapids, MI",43.635295,-85.332751
48,13820,"Birmingham-Hoover, AL",33.402599,-86.729515
49,13940,"Blackfoot, ID",43.216357,-112.399206
50,14010,"Bloomington, IL",40.494559,-88.844539
51,14020,"Bloomington, IN",39.241736,-86.671754
52,14100,"Bloomsburg-Berwick, PA",41.040404,-76.461654
53,14160,"Bluffton, IN",40.735273,-85.212974
54,14220,"Bogalusa, LA",30.852144,-90.046253
55,14260,"Boise City, ID",43.006648,-116.141909
56,14300,"Bonham, TX",33.591161,-96.104988
57,14420,"Borger, TX",35.837047,-101.362746
58,14460,"Boston-Cambridge-Newton, MA-NH",42.517606,-71.021993
59,14500,"Boulder, CO",40.094962,-105.397704
60,14540,"Bowling Green, KY",37.046804,-86.397398
61,14740,"Bremerton-Silverdale-Port Orchard, WA",47.639595,-122.649634
62,14780,"Brenham, TX",30.215075,-96.410272
63,14820,"Brevard, NC",35.210103,-82.816666
64,14860,"Bridgeport-Stamford-Norwalk, CT",41.227413,-73.367061
65,15020,"Brookhaven, MS",31.535216,-90.453566
66,15140,"Brownsville, TN",35.586678,-89.282691
67,15180,"Brownsville-Harlingen, TX",26.102923,-97.478958
68,15340,"Bucyrus-Galion, OH",40.848524,-82.924783
69,15380,"Buffalo-Cheektowaga, NY",43.044371,-78.777335
70,15460,"Burlington, IA-IL",40.863823,-91.069976
71,15500,"Burlington, NC",36.043954,-79.400573
72,15540,"Burlington-South Burlington, VT",44.689117,-73.041171
73,15660,"Calhoun, GA",34.509667,-84.873862
74,15680,"California-Lexington Park, MD",38.223077,-76.534487
75,15700,"Cambridge, MD",38.429196,-76.047433
76,15740,"Cambridge, OH",40.056665,-81.497875
77,15860,"Cañon City, CO",38.45517,-105.424958
78,15940,"Canton-Massillon, OH",40.711051,-81.261468
79,15980,"Cape Coral-Fort Myers, FL",26.563273,-81.984182
80,16020,"Cape Girardeau, MO-IL",37.325936,-89.762639
81,16180,"Carson City, NV",39.15306,-119.747368
82,16300,"Cedar Rapids, IA",42.086289,-91.631095
83,16340,"Cedartown, GA",33.996015,-85.188338
84,16380,"Celina, OH",40.535333,-84.632059
85,16460,"Centralia, IL",38.648236,-88.920362
86,16500,"Centralia, WA",46.580071,-122.377444
87,16540,"Chambersburg-Waynesboro, PA",39.926772,-77.724521
88,16620,"Charleston, WV",38.355177,-81.620341
89,16740,"Charlotte-Concord-Gastonia, NC-SC",35.166342,-80.797285
90,16860,"Chattanooga, TN-GA",35.049361,-85.361158
91,16980,"Chicago-Naperville-Elgin, IL-IN-WI",41.823521,-87.828297
92,17060,"Chillicothe, OH",39.323895,-83.059538
93,17140,"Cincinnati, OH-KY-IN",39.100546,-84.479533
94,17380,"Cleveland, MS",33.799139,-90.88412
95,17420,"Cleveland, TN",35.138117,-84.655079
96,17460,"Cleveland-Elyria, OH",41.555037,-81.604957
97,17500,"Clewiston, FL",26.539967,-81.152114
98,17540,"Clinton, IA",41.898073,-90.534243
99,17580,"Clovis, NM",34.572984,-103.346055
100,17620,"Coamo, PR",18.1038,-66.357586
101,17640,"Coco, PR",17.971485,-66.262252
102,17660,"Coeur d'Alene, ID",47.675957,-116.695919
103,17740,"Coldwater, MI",41.918455,-85.066885
104,17860,"Columbia, MO",38.986486,-92.585189
105,17900,"Columbia, SC",34.077585,-81.037845
106,17980,"Columbus, GA-AL",32.419377,-84.843709
107,18020,"Columbus, IN",39.205843,-85.897999
108,18060,"Columbus, MS",33.471424,-88.439723
109,18140,"Columbus, OH",39.968562,-82.835911
110,18180,"Concord, NH",43.299579,-71.680041
111,18220,"Connersville, IN",39.639655,-85.185032
112,18420,"Corinth, MS",34.886569,-88.581109
113,18460,"Cornelia, GA",34.634392,-83.525875
114,18500,"Corning, NY",42.266725,-77.385525
115,18580,"Corpus Christi, TX",27.833597,-97.508958
116,18620,"Corsicana, TX",32.048448,-96.476909
117,18660,"Cortland, NY",42.594039,-76.07624
118,18700,"Corvallis, OR",44.493882,-123.424664
119,18780,"Craig, CO",40.610864,-108.217154
120,18820,"Crawfordsville, IN",40.040296,-86.892715
121,18980,"Cullman, AL",34.131923,-86.869267
