,USPS,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
0,AL,Autauga County,32.532237,-86.64644,59095
1,AL,Baldwin County,30.659218,-87.746067,239294
2,AL,Barbour County,31.870253,-85.405104,24964
3,AL,Bibb County,33.015893,-87.127148,22477
4,AL,Blount County,33.977358,-86.56644,59041
5,AL,Bullock County,32.101759,-85.717261,10320
6,AL,Butler County,31.751667,-86.681969,18884
7,AL,Calhoun County,33.770516,-85.827909,115972
8,AL,Chambers County,32.915504,-85.394032,34541
9,AL,Cherokee County,34.069515,-85.654242,24996
10,AL,Chilton County,32.854051,-86.726607,45274
11,AL,Choctaw County,31.990954,-88.248889,12533
12,AL,Clarke County,31.685521,-87.818624,22760
13,AL,Clay County,33.2704,-85.863525,14190
14,AL,Cleburne County,33.671964,-85.516126,15103
15,AL,Coffee County,31.402258,-85.989602,54174
16,AL,Colbert County,34.703112,-87.801457,57474
17,AL,Conecuh County,31.430926,-86.988722,11328
18,AL,Coosa County,32.931445,-86.243482,10450
19,AL,Covington County,31.243987,-86.448721,37524
20,AL,Crenshaw County,31.730311,-86.320038,13083
21,AL,Cullman County,34.131923,-86.869267,89496
22,AL,Dale County,31.430654,-85.609476,49342
23,AL,Dallas County,32.333526,-87.11436,37619
24,AL,DeKalb County,34.460915,-85.804021,71813
25,AL,Elmore County,32.597229,-86.142735,89304
26,AL,Escambia County,31.122287,-87.16841,36699
27,AL,Etowah County,34.047641,-86.034263,103162
28,AL,Fayette County,33.716157,-87.764292,16148
29,AL,Franklin County,34.441989,-87.842814,32013
30,AL,Geneva County,31.092382,-85.821022,26701
31,AL,Greene County,32.844497,-87.9642,7629
32,AL,Hale County,32.752796,-87.623061,14754
33,AL,Henry County,31.516978,-85.239971,17459
34,AL,Houston County,31.158183,-85.296411,107458
35,AL,Jackson County,34.764114,-85.980056,52773
36,AL,Jefferson County,33.553444,-86.896536,667820
37,AL,Lamar County,33.787085,-88.087431,13689
38,AL,Lauderdale County,34.904122,-87.650997,94043
39,AL,Lawrence County,34.529776,-87.321865,33090
40,AL,Lee County,32.604064,-85.353048,177218
41,AL,Limestone County,34.810239,-86.981399,107517
42,AL,Lowndes County,32.147888,-86.650586,9965
43,AL,Macon County,32.387027,-85.692887,18895
44,AL,Madison County,34.764238,-86.55108,395211
45,AL,Marengo County,32.247591,-87.791091,18996
46,AL,Marion County,34.138219,-87.881551,29246
47,AL,Marshall County,34.309564,-86.321668,98228
48,AL,Mobile County,30.684572,-88.196568,413073
49,AL,Monroe County,31.580332,-87.383266,19648
50,AL,Montgomery County,32.202881,-86.204461,227434
51,AL,Morgan County,34.454484,-86.846402,123668
52,AL,Perry County,32.639005,-87.293827,8355
53,AL,Pickens County,33.2968,-88.096864,18801
54,AL,Pike County,31.798653,-85.941608,32991
55,AL,Randolph County,33.296461,-85.464064,21989
56,AL,Russell County,32.289811,-85.18698,58722
57,AL,St. Clair County,33.719491,-86.311327,92748
58,AL,Shelby County,33.263043,-86.678089,226902
59,AL,Sumter County,32.597481,-88.200057,12164
60,AL,Talladega County,33.369314,-86.17593,81524
61,AL,Tallapoosa County,32.863308,-85.799618,41023
62,AL,Tuscaloosa County,33.29022,-87.522783,227007
63,AL,Walker County,33.791558,-87.301094,64818
64,AL,Washington County,31.408503,-88.212404,15147
65,AL,Wilcox County,31.990082,-87.304935,10446
66,AL,Winston County,34.154566,-87.365346,23652
67,AK,Aleutians East Borough,55.245044,-161.997477,3398
68,AK,Aleutians West Census Area,51.959447,178.338813,5059
69,AK,Anchorage Municipality,61.17425,-149.284329,288121
70,AK,Bethel Census Area,60.929141,-160.152625,18557
71,AK,Bristol Bay Borough,58.741661,-156.966805,838
72,AK,Chugach Census Area,60.488474,-146.203092,6941
73,AK,Copper River Census Area,62.034479,-143.922167,2630
74,AK,Denali Borough,63.682039,-150.027016,1593
75,AK,Dillingham Census Area,59.543326,-158.267123,4772
76,AK,Fairbanks North Star Borough,64.676044,-146.548159,95593
77,AK,Haines Borough,59.098404,-135.575791,2071
78,AK,Hoonah-Angoon Census Area,58.403336,-135.884909,2332
79,AK,Juneau City and Borough,58.37291,-134.178445,31973
80,AK,Kenai Peninsula Borough,60.360766,-152.05264,59767
81,AK,Ketchikan Gateway Borough,55.449938,-131.106685,13754
82,AK,Kodiak Island Borough,57.7044,-153.918372,12787
83,AK,Kusilvak Census Area,62.283588,-163.190171,8360
84,AK,Lake and Peninsula Borough,58.108507,-156.413413,1416
85,AK,Matanuska-Susitna Borough,62.265626,-149.503993,110686
86,AK,Nome Census Area,64.783686,-164.188912,9865
87,AK,North Slope Borough,69.449343,-153.47283,10972
88,AK,Northwest Arctic Borough,67.005066,-160.021086,7560
89,AK,Petersburg Borough,57.112458,-133.008598,3356
90,AK,Prince of Wales-Hyder Census Area,55.682773,-133.162389,5729
91,AK,Sitka City and Borough,57.193204,-135.367396,8407
92,AK,Skagway Municipality,59.560379,-135.338279,1132
93,AK,Southeast Fairbanks Census Area,63.864997,-143.218628,6970
94,AK,Wrangell City and Borough,56.180779,-132.026788,2055
